,Sector,University,Year,Completions,Geography
0,"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2016,591,Nevada
1,"Private for-profit, less-than 2-year",Healthcare Preparatory Institute,2016,28,Nevada
2,"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2016,408,Nevada
3,"Private for-profit, less-than 2-year",Utah College of Massage Therapy-Vegas,2016,240,Nevada
4,"Public, 4-year or above",Western Nevada College,2016,960,Nevada
5,"Private for-profit, less-than 2-year",Advanced Training Institute,2016,372,Nevada
6,"Public, 4-year or above",Great Basin College,2016,858,Nevada
7,"Private for-profit, less-than 2-year",European Massage Therapy School-Las Vegas,2016,85,Nevada
8,"Private for-profit, less-than 2-year",Institute of Professional Careers,2016,24,Nevada
9,"Public, 4-year or above",Nevada State College,2016,420,Nevada
10,"Private for-profit, less-than 2-year",Milan Institute-Sparks,2016,271,Nevada
11,"Public, 4-year or above",University of Nevada-Las Vegas,2016,5367,Nevada
12,"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2016,124,Nevada
13,"Private for-profit, 2-year",Northwest Career College,2016,208,Nevada
14,"Public, 4-year or above",University of Nevada-Reno,2016,4309,Nevada
15,"Private for-profit, 2-year",Le Cordon Bleu College of Culinary Arts-Las Vegas,2016,222,Nevada
16,"Private not-for-profit, 4-year or above",Sierra Nevada College,2016,261,Nevada
17,"Private not-for-profit, 4-year or above",Wongu University of Oriental Medicine,2016,0,Nevada
18,"Private for-profit, 2-year",Carrington College-Reno,2016,165,Nevada
19,"Private for-profit, 2-year",Carrington College-Las Vegas,2016,210,Nevada
20,"Private not-for-profit, 4-year or above",Touro University Nevada,2016,356,Nevada
21,"Public, 4-year or above",College of Southern Nevada,2016,4763,Nevada
22,"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2016,591,Nevada
23,"Private for-profit, 2-year",Brightwood College-Las Vegas,2016,581,Nevada
24,"Private for-profit, 2-year",Career College of Northern Nevada,2016,299,Nevada
25,"Private for-profit, 4-year or above",University of Phoenix-Nevada,2016,423,Nevada
26,"Private for-profit, 4-year or above",Chamberlain College of Nursing-Nevada,2016,0,Nevada
27,"Private for-profit, 4-year or above",Arizona College-Las Vegas,2016,0,Nevada
28,"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2016,83,Nevada
29,"Private for-profit, 2-year",Paul Mitchell the School-Reno,2016,74,Nevada
30,"Private for-profit, 2-year",Paul Mitchell the School-Las Vegas,2016,156,Nevada
31,"Private for-profit, 4-year or above",DeVry University-Nevada,2016,99,Nevada
32,"Private for-profit, 2-year",International Academy of Style,2016,71,Nevada
33,"Private for-profit, 4-year or above",The Art Institute of Las Vegas,2016,135,Nevada
34,"Private for-profit, 2-year",Casal Institute of Nevada,2016,109,Nevada
35,"Private for-profit, 2-year",Milan Institute of Cosmetology-Reno,2016,83,Nevada
36,"Private for-profit, 4-year or above",Sanford-Brown College-Las Vegas,2016,91,Nevada
37,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Green Valley,2016,96,Nevada
38,"Private for-profit, 2-year",Euphoria Institute of Beauty Arts & Sciences-Summerlin,2016,187,Nevada
39,"Public, 2-year",Truckee Meadows Community College,2016,2431,Nevada
40,"Private for-profit, 2-year",Nevada Career Institute,2016,151,Nevada
41,"Private not-for-profit, 2-year",Everest College-Henderson,2016,233,Nevada
42,"Private not-for-profit, 2-year",Expertise Cosmetology Institute,2016,89,Nevada
43,"Private for-profit, 2-year",Pima Medical Institute-Las Vegas,2015,597,Nevada
44,"Private not-for-profit, 4-year or above",Roseman University of Health Sciences,2015,517,Nevada
45,"Private for-profit, less-than 2-year",Milan Institute-Sparks,2015,320,Nevada
46,"Public, 4-year or above",University of Nevada-Las Vegas,2015,5335,Nevada
47,"Private for-profit, 2-year",Brightwood College-Las Vegas,2015,721,Nevada
48,"Private for-profit, less-than 2-year",Healthcare Preparatory Institute,2015,38,Nevada
49,"Private for-profit, 4-year or above",ITT Technical Institute-Las Vegas,2015,197,Nevada
50,"Private for-profit, 2-year",Career College of Northern Nevada,2015,317,Nevada
51,"Private for-profit, 4-year or above",University of Phoenix-Nevada,2015,600,Nevada
52,"Private for-profit, less-than 2-year",Advanced Training Institute,2015,266,Nevada
53,"Private for-profit, 4-year or above",Chamberlain College of Nursing-Nevada,2015,0,Nevada
54,"Private for-profit, less-than 2-year",Academy of Hair Design-Las Vegas,2015,180,Nevada
55,"Private for-profit, 4-year or above",Arizona College-Las Vegas,2015,0,Nevada
56,"Public, 4-year or above",Great Basin College,2015,769,Nevada
57,"Public, 4-year or above",University of Nevada-Reno,2015,4004,Nevada
58,"Private for-profit, 2-year",Aviation Institute of Maintenance-Las Vegas,2015,29,Nevada
59,"Private for-profit, less-than 2-year",Milan Institute-Las Vegas,2015,417,Nevada
60,"Private for-profit, 4-year or above",ITT Technical Institute-Henderson,2015,127,Nevada
61,"Private for-profit, 2-year",Paul Mitchell the School-Reno,2015,83,Nevada
62,"Private for-profit, 2-year",Northwest Career College,2015,184,Nevada
63,"Private for-profit, 4-year or above",DeVry University-Nevada,2015,108,Nevada
64,"Public, 4-year or above",College of Southern Nevada,2015,4630,Nevada
